Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
Allergan Inc.,AbbVie,"$600,000,000 ",$0 ,"$600,000,000 ",2010,20100901,healthcare-related offenses,off-label or unapproved promotion of medical products,,"American pharmaceutical manufacturer Allergan Inc. has agreed to plead guilty and pay $600 million to resolve its criminal and civil liability arising from the company's unlawful promotion of its biological product, Botox Therapeutic, for uses not approved as safe and effective by the Food and Drug Administration. The resolution included a criminal fine and forfeiture totaling $375 million and a civil settlement with the federal government and the states of $225 million.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil and criminal,,,,,,,,,,,,USA,Illinois,publicly traded,ABBV,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/allergan-agrees-plead-guilty-and-pay-600-million-resolve-allegations-label-promotion-botox,
Allergan Inc.,AbbVie,"$15,000,000 ",$0 ,"$15,000,000 ",2017,20170117,financial offenses,investor protection violation,,Allergan Inc. admitted securities law violations and agreed to pay a $15 million penalty for disclosure failures in the wake of a hostile takeover bid.,federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,USA,Illinois,publicly traded,ABBV,pharmaceuticals,pharmaceuticals,https://www.sec.gov/news/pressrelease/2017-16.html,
Alpharma Inc.,Pfizer,"$42,500,000 ",$0 ,"$42,500,000 ",2010,20100316,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"Alpharma Inc. agreed to pay $42.5 million to resolve False Claims Act allegations in connection with the marketing of the morphine-based drug Kadian. The settlement resolved allegations that between January 1, 2000 and December 29, 2008 Alpharma paid health care providers to induce them to promote or prescribe Kadian, and made misrepresentations about the safety and efficacy of the drug. ",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/alpharma-pay-425-million-resolve-false-claims-act-allegations-connection-promotion-drug,
"Alpharma, Inc.",Pfizer,"$2,500,000 ",$0 ,"$2,500,000 ",2004,20040812,competition-related offenses,price-fixing or anti-competitive practices,consumer protection violation,Generic drug manufacturers Alpharma Inc. and Perrigo Company agreed to give up a total of $6.25 million in illegal profits to settle Federal Trade Commission allegations that their agreement to limit competition for over-the-counter store-brand children's liquid ibuprofen drove up prices and violated federal law.,federal,agency action,Federal Trade Commission,civil,,,,,,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,https://www.ftc.gov/news-events/press-releases/2004/08/generic-drug-marketers-settle-ftc-charges,
"American Pharmaceutical Partners, Inc.",Bristol-Myers Squibb,"$160,203 ",$0 ,"$160,203 ",2004,20041226,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1379241,,,New York,Grand Island,,14072,32541,32541: Pharmaceutical and Medicine Manufacturing,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
Amgen Inc.,Amgen,"$762,000,000 ",$0 ,"$762,000,000 ",2012,20121219,healthcare-related offenses,off-label or unapproved promotion of medical products,,"U.S. District Judge Sterling Johnson, Jr. accepted a guilty plea by American biotechnology giant Amgen Inc. for illegally introducing a misbranded drug into interstate commerce. The plea is part of a global settlement with the United States in which Amgen agreed to pay $762 million to resolve criminal and civil liability arising from its sale and promotion of certain drugs.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil and criminal,,,,,,,,,,,,USA,California,publicly traded,AMGN,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/amgen-inc-pleads-guilty-federal-charge-brooklyn-ny-pays-762-million-resolve-criminal,
Amgen Inc.,Amgen,"$24,900,000 ",$0 ,"$24,900,000 ",2013,20130416,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"Amgen Inc. agreed to pay the United States $24.9 million to settle allegations that it violated the False Claims Act. The company was accused of paying kickbacks  to long-term care pharmacy providers Omnicare Inc., PharMerica Corporation and Kindred Healthcare Inc. in return for implementing ""therapeutic interchange"" programs that were designed to switch Medicare and Medicaid beneficiaries from a competitor drug to Amgen's Aranesp.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,California,publicly traded,AMGN,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/amgen-pay-us-249-million-resolve-false-claims-act-allegations,
"Amgen, Inc.",Amgen,"$40,000 ",$0 ,"$40,000 ",2011,20110302,employment-related offenses,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,civil,,,14-CA-30273-001,,,Missouri,St. Louis,,63130,541720,541720: Research and Development in the Social Sciences and Humanities,USA,California,publicly traded,AMGN,pharmaceuticals,pharmaceuticals,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,
"Amneal Pharmaceuticals of NY, LLC",Amneal Pharmaceuticals,"$99,000 ",$0 ,"$99,000 ",2015,20150930,employment-related offenses,employment discrimination,,,federal,agency action,Office of Federal Contract Compliance Programs,civil,,,,,,,,,,,,USA,New Jersey,publicly traded,AMRX,pharmaceuticals,pharmaceuticals,https://www.dol.gov/ofccp/foia/files/AmnealPharmaceuticalsCA_Redacted.pdf,
Astellas Pharma US Inc.,Astellas Pharma,"$7,300,000 ",$0 ,"$7,300,000 ",2014,20140416,government-contracting-related offenses,False Claims Act and related,off-label or unapproved promotion of medical products,"Astellas Pharma US Inc. agreed to pay $7.3 million to resolve allegations that it violated the False Claims Act in connection with its marketing and promotion of the drug Mycamine for pediatric use, which had not received FDA approval.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/astellas-pharma-us-inc-pay-73-million-resolve-false-claims-act-allegations-relating-marketing,
AstraZeneca,AstraZeneca,"$250,000 ",$0 ,"$250,000 ",2011,20110606,employment-related offenses,employment discrimination,,"AstraZeneca agreed to pay $250,000 to 124 women who allegedly were subjected to pay discrimination while working at the corporation's Philadelphia Business Center in Wayne, Pa. The action resolved a lawsuit filed by the U.S. Department of Labor in May 2010 alleging that the company discriminated against female sales specialists by paying them salaries that were, on average, $1,700 less than their male counterparts. ",federal,agency action,Office of Federal Contract Compliance Programs,civil,,,,,,Pennsylvania,Wayne,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.dol.gov/opa/media/press/ofccp/OFCCP20110829.htm,
AstraZeneca LP,AstraZeneca,"$520,000,000 ",$0 ,"$520,000,000 ",2010,20100427,healthcare-related offenses,off-label or unapproved promotion of medical products,,"AstraZeneca LP and AstraZeneca Pharmaceuticals LP will pay $520 million to resolve allegations that AstraZeneca illegally marketed the anti-psychotic drug Seroquel for uses not approved as safe and effective by the Food and Drug Administration, the Departments of Justice and Health and Human Services' Health Care Fraud Enforcement Action Team.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/pharmaceutical-giant-astrazeneca-pay-520-million-label-drug-marketing,
AstraZeneca LP,AstraZeneca,"$46,500,000 ",$0 ,"$46,500,000 ",2015,20150706,government-contracting-related offenses,False Claims Act and related,,"AstraZeneca LP agreed to pay the United States and participating states a total of $46.5 million, plus interest, to resolve allegations that it knowingly underpaid rebates owed under the Medicaid Drug Rebate Program.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/astrazeneca-and-cephalon-pay-465-million-and-75-million-respectively-allegedly-underpaying,
AstraZeneca LP,AstraZeneca,"$7,900,000 ",$0 ,"$7,900,000 ",2015,20150211,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"AstraZeneca LP, a pharmaceutical manufacturer based in Delaware, agreed to pay the government $7.9 million to settle allegations that it engaged in a kickback scheme in violation of the False Claims Act.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/astrazeneca-pay-79-million-resolve-kickback-allegations,
AstraZeneca Pharmaceuticals,AstraZeneca,"$2,600,000 ",$0 ,"$2,600,000 ",2009,20091019,government-contracting-related offenses,False Claims Act and related,,"Mylan Pharmaceuticals, UDL Laboratories, AstraZeneca Pharmaceuticals and Ortho McNeil Pharmaceutical entered into settlement agreements for a total of $124 million to resolve claims that they violated the False Claims Act by failing to pay appropriate rebates to state Medicaid programs for drugs paid for by those programs.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/four-pharmaceutical-companies-pay-124-million-submission-false-claims-medicaid,
AstraZeneca Pharmaceuticals LP,AstraZeneca,"$354,900,000 ",$0 ,"$354,900,000 ",2003,20030620,government-contracting-related offenses,False Claims Act and related,,"AstraZeneca Pharmaceuticals LP pleaded guilty in federal district court in Wilmington, Delaware and agreed to pay $354.9 million to resolve criminal charges and civil liabilities in connection with its drug pricing and marketing practices with regard to Zoladex, a drug used primarily for the treatment of prostate cancer. AstraZeneca agreed to pay a criminal fine of $63.9 million as part of pleaded guilty to conspiring to violate the Prescription Drug Marketing Act by causing to be submitted claims for payment for the prescription of Zoladex which had been provided as free samples to urologists. AstraZeneca agreed to settle its federal civil False Claim Act liabilities and to pay the U.S. government $266.1 million to resolve allegations it caused false and fraudulent claims to be filed with the Medicare; another $24.9 million was to be paid to states to resolve similar claims concerning Medicaid.",federal,agency action,Justice Department Civil Division,civil and criminal,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2003/June/03_civ_371.htm,
AstraZeneca PLC,AstraZeneca,"$5,522,000 ",$0 ,"$5,522,000 ",2016,20160830,competition-related offenses,kickbacks and bribery,,,federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.sec.gov/litigation/admin/2016/34-78730.pdf,
Aventis Pharmaceutical Inc.,Sanofi,"$95,500,000 ",$0 ,"$95,500,000 ",2009,20090528,government-contracting-related offenses,False Claims Act and related,,Aventis Pharmaceutical Inc. agreed to pay the United States $95.5 million to settle allegations that it violated the False Claims Act by misreporting drug prices in order to reduce its Medicaid Drug Rebate obligations.,federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/aventis-pharmaceutical-pay-us-955-million-settle-false-claims-act-allegations,
Aventis Pharmaceuticals Inc.,Sanofi,"$190,000,000 ",$0 ,"$190,000,000 ",2007,20070910,government-contracting-related offenses,False Claims Act and related,fraud,"Aventis Pharmaceuticals Inc. paid the United States and a number of states, as well as the District of Columbia, over $190 million to resolve allegations that the company caused false claims to be filed with Medicare and other federal health programs as a result of the company's alleged fraudulent pricing and marketing of drugs. Aventis, which changed its name to Sanofi-Aventis,  agreed to settle False Claims Act allegations concerning its pricing and marketing of Anzemet, an antiemetic drug used primarily in conjunction with oncology and radiation treatment to prevent nausea and vomiting. ",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,France,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2007/September/07_civ_694.html,
AVEO Pharmaceuticals Inc.,AVEO Pharmaceuticals,"$4,000,000 ",$0 ,"$4,000,000 ",2016,20160329,financial offenses,investor protection violation,,"The SEC announced fraud charges against a Massachusetts-based biotech company and three former executives for misleading investors about the company's efforts to obtain Food and Drug Administration approval for its flagship developmental drug to treat kidney cancer. The SEC alleged that AVEO Pharmaceuticals Inc. concealed the FDA's level of concern about Tivozanib in public statements to investors by omitting the critical fact that FDA staff had recommended a second clinical trial to address their concerns about patient death rates during the first clinical trial.  When the FDA made public months later that it had recommended an additional clinical trial, the company's stock price declined 31 percent.  AVEO never conducted an additional trial, and the FDA later refused to approve Tivozanib.",federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,USA,Massachusetts,publicly traded,AVEO,pharmaceuticals,biopharmaceuticals,https://www.sec.gov/news/pressrelease/2016-59.html,
Biogen Idec Inc.,Biogen Idec,"$6,934 ",$0 ,"$6,934 ",2005,20050617,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1386927,,,California,San Diego,,92122,541710,"541710: Research and Development in the Physical, Engineering, and Life Sciences",USA,Massachusetts,publicly traded,BIIB,pharmaceuticals,pharmaceuticals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Biogen Idec, Inc.",Biogen Idec,"$49,600 ",$0 ,"$49,600 ",2009,20090227,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1518333,,,Massachusetts,Cambridge,,2142,325412,325412: Pharmaceutical Preparation Manufacturing,USA,Massachusetts,publicly traded,BIIB,pharmaceuticals,pharmaceuticals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
Biovail Corporation,Bausch Health,"$10,000,000 ",$0 ,"$10,000,000 ",2008,20080324,financial offenses,accounting fraud or deficiencies,,Biovail Corporation agreed to pay $10 million to settle allegations of engaging in a number of fraudulent accounting schemes and making a series of misstatements to analysts and investors.,federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,Canada,,publicly traded,BHC,pharmaceuticals,pharmaceuticals,https://www.sec.gov/news/press/2008/2008-50.htm,
BIOVAIL AMERICAS CORP.,Bausch Health,"$10,001 ",$0 ,"$10,001 ",2012,20120607,employment-related offenses,benefit plan administrator violation,,Deficient Filer,federal,agency action,Employee Benefits Security Administration,civil,,,,,,New Jersey,,,,,,Canada,,publicly traded,BHC,pharmaceuticals,pharmaceuticals,Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php,"Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
Block Drug Company Incorporated,GlaxoSmithKline,"$352,773 ",$0 ,"$352,773 ",2011,20110801,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1599664,,,Tennessee,Memphis,,38113,32541,32541: Pharmaceutical and Medicine Manufacturing,United Kingdom,,publicly traded,LSE: GSK,pharmaceuticals,pharmaceuticals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
Boehringer Ingelheim Pharmaceuticals Inc.,Boehringer Ingelheim,"$95,000,000 ",$0 ,"$95,000,000 ",2012,20121025,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Boehringer Ingelheim Pharmaceuticals Inc. agreed to pay $95 million to resolve allegations relating to the improper promotion of the stroke-prevention drug Aggrenox, the chronic obstructive pulmonary disease drugs Atrovent and Combivent, and the hypertension drug Micardis.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil,,,,,,,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/boehringer-ingelheim-pay-95-million-resolve-false-claims-act-allegations,
"Boehringer Ingelheim Pharmaceutical, Inc.",Boehringer Ingelheim,"$50,000 ",$0 ,"$50,000 ",2004,20040630,employment-related offenses,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,civil,,,34-CA-10778-001,,,Connecticut,Ridgefield,,6877,325412,325412: Pharmaceutical Preparation Manufacturing,Germany,,privately held,,pharmaceuticals,pharmaceuticals,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,
"Boehringer Ingelheim Vetmedica, Inc.",Eli Lilly,"$300,000 ",$0 ,"$300,000 ",2011,20111018,environment-related offenses,environmental violation,,"Boehringer Ingelheim Vetmedica, Inc., (BIV), has agreed to pay a $300,000 civil penalty to the United States to settle a series of alleged violations of the federal Clean Air Act at its veterinary health products facility in St. Joseph, Mo.",federal,agency action,Environmental Protection Agency,civil,,,,,,Missouri,St. Joseph,,,,,USA,Indiana,publicly traded,LLY,pharmaceuticals,pharmaceuticals,https://archive.epa.gov/epapages/newsroom_archive/newsreleases/34cce24d8bf6c24f8525792d007785b9.html,
"Boehringer Ingelheim Vetmedica, Inc.",Eli Lilly,"$68,475 ",$0 ,"$68,475 ",2012,20120924,environment-related offenses,environmental violation,,"Boehringer Ingelheim Vetmedica, Inc., a veterinary health products company, has agreed to pay a $68,475 civil penalty to the United States to settle a series of Resource Conservation and Recovery Act violations based on its mishandling of mercury waste in St. Joseph, Mo.",federal,agency action,Environmental Protection Agency,civil,,,,,,Missouri,St. Joseph,,,,,USA,Indiana,publicly traded,LLY,pharmaceuticals,pharmaceuticals,https://archive.epa.gov/epapages/newsroom_archive/newsreleases/efbee3de7fd92cab85257a830069d20f.html,
Bristol-Myers Squibb,Bristol-Myers Squibb,"$14,000,000 ",$0 ,"$14,000,000 ",2015,20151005,competition-related offenses,Foreign Corrupt Practices Act,,,federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.sec.gov/news/pressrelease/2015-229.html,
Bristol-Myers Squibb,Bristol-Myers Squibb,"$3,650,000 ",$0 ,"$3,650,000 ",2008,20080708,environment-related offenses,environmental violation,,Bristol-Myers Squibb agreed to reduce the output of ozone-depleting refrigerants at multiple industrial facilities around the country at a combined cost of $3.65 million in order to resolve violations of the Clean Air Act.,federal,agency action,Justice Department Environment and Natural Resources Division,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2008/July/08-enrd-591.html,
Bristol-Myers Squibb,Bristol-Myers Squibb,"$1,000,000 ",$0 ,"$1,000,000 ",2007,20070530,safety-related offenses,drug or medical equipment safety violation,,"Bristol-Myers Squibb Company agreed to plead guilty and pay a $1 million criminal fine for lying to the federal government about a patent deal involving a popular blood-thinning drug. The company's actions allegedly  threatened to reduce competition for the drug Plavix that could have reduced the cost of blood-thinning drugs sold to heart attack, stroke and other patients.",federal,agency action,Justice Department Antitrust Division,criminal,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/atr/public/press_releases/2007/223634.htm,
